"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE",260303,2026-03-03,06765T,NYME,01,067 ,  251667,   44558,   60567,   44263,    2854,   10517,   16858,    1759,    8967,   47182,   89749,   70824,  243169,  245237,    8498,    6430,  251667,   44558,   60567,   44263,    2854,   10517,   16858,    1759,    8967,   47182,   89749,   70824,  243169,  245237,    8498,    6430,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -15325,  -13317,    9833,   -2831,   -2651,   -1453,    5377,    1326,   -7601,     646,  -17328,    3643,  -15536,  -14231,     211,   -1094,  100.0,   17.7,   24.1,   17.6,    1.1,    4.2,    6.7,    0.7,    3.6,   18.7,   35.7,   28.1,   96.6,   97.4,    3.4,    2.6,  100.0,   17.7,   24.1,   17.6,    1.1,    4.2,    6.7,    0.7,    3.6,   18.7,   35.7,   28.1,   96.6,   97.4,    3.4,    2.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     65,     15,     14,      6,.,      6,      4,.,      5,     22,     10,     31,     59,     59,     65,     15,     14,      6,.,      6,      4,.,      5,     22,     10,     31,     59,     59,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    31.9,    51.5,    47.2,    66.8,    24.3,    39.9,    34.0,    46.5,    31.9,    51.5,    47.2,    66.8,    24.3,    39.9,    34.0,    46.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","06765T","NYME","067 ","N10","FutOnly"
"BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE",260224,2026-02-24,06765T,NYME,01,067 ,  266992,   57875,   50734,   47094,    5505,   11970,   11481,     433,   16568,   46536,  107077,   67181,  258705,  259468,    8287,    7524,  266992,   57875,   50734,   47094,    5505,   11970,   11481,     433,   16568,   46536,  107077,   67181,  258705,  259468,    8287,    7524,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -5941,    5670,   -8604,    3345,    4579,   -6068,       1,    -211,   -1355,    -989,   12449,   -8077,   -7473,   -7287,    1532,    1346,  100.0,   21.7,   19.0,   17.6,    2.1,    4.5,    4.3,    0.2,    6.2,   17.4,   40.1,   25.2,   96.9,   97.2,    3.1,    2.8,  100.0,   21.7,   19.0,   17.6,    2.1,    4.5,    4.3,    0.2,    6.2,   17.4,   40.1,   25.2,   96.9,   97.2,    3.1,    2.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     64,     15,     14,      7,.,      6,      4,.,      5,     20,     13,     31,     61,     57,     64,     15,     14,      7,.,      6,      4,.,      5,     20,     13,     31,     61,     57,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    33.2,    47.1,    49.3,    60.9,    22.0,    39.9,    32.2,    44.7,    33.2,    47.1,    49.3,    60.9,    22.0,    39.9,    32.2,    44.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","06765T","NYME","067 ","N10","FutOnly"
"BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE",260217,2026-02-17,06765T,NYME,01,067 ,  272933,   52205,   59338,   43749,     926,   18038,   11480,     644,   17923,   47525,   94628,   75258,  266178,  266755,    6755,    6178,  272933,   52205,   59338,   43749,     926,   18038,   11480,     644,   17923,   47525,   94628,   75258,  266178,  266755,    6755,    6178,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   11203,     710,    6375,    6481,     100,   -3150,   -3063,     339,    2387,    4878,    1661,    2735,   10978,   10447,     225,     756,  100.0,   19.1,   21.7,   16.0,    0.3,    6.6,    4.2,    0.2,    6.6,   17.4,   34.7,   27.6,   97.5,   97.7,    2.5,    2.3,  100.0,   19.1,   21.7,   16.0,    0.3,    6.6,    4.2,    0.2,    6.6,   17.4,   34.7,   27.6,   97.5,   97.7,    2.5,    2.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     67,     15,     14,      7,.,      6,      4,.,      5,     24,     10,     34,     63,     61,     67,     15,     14,      7,.,      6,      4,.,      5,     24,     10,     34,     63,     61,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    32.9,    47.4,    52.0,    64.1,    21.4,    41.0,    31.6,    42.8,    32.9,    47.4,    52.0,    64.1,    21.4,    41.0,    31.6,    42.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","06765T","NYME","067 ","N10","FutOnly"
"BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE",260210,2026-02-10,06765T,NYME,01,067 ,  261730,   51495,   52963,   37268,     826,   21188,   14543,     305,   15536,   42647,   92967,   72523,  255200,  256308,    6530,    5422,  261730,   51495,   52963,   37268,     826,   21188,   14543,     305,   15536,   42647,   92967,   72523,  255200,  256308,    6530,    5422,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   21914,    4975,    5321,    2548,     686,   11972,     837,    -120,    -638,   -1451,    1478,    2608,   20851,   21307,    1063,     607,  100.0,   19.7,   20.2,   14.2,    0.3,    8.1,    5.6,    0.1,    5.9,   16.3,   35.5,   27.7,   97.5,   97.9,    2.5,    2.1,  100.0,   19.7,   20.2,   14.2,    0.3,    8.1,    5.6,    0.1,    5.9,   16.3,   35.5,   27.7,   97.5,   97.9,    2.5,    2.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     66,     15,     14,      7,.,      6,      6,.,      5,     21,     12,     32,     63,     58,     66,     15,     14,      7,.,      6,      6,.,      5,     21,     12,     32,     63,     58,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    33.4,    46.9,    50.7,    63.0,    20.1,    39.9,    30.7,    42.7,    33.4,    46.9,    50.7,    63.0,    20.1,    39.9,    30.7,    42.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","06765T","NYME","067 ","N10","FutOnly"
"BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE",260203,2026-02-03,06765T,NYME,01,067 ,  239816,   46520,   47642,   34720,     140,    9216,   13706,     425,   16174,   44098,   91489,   69915,  234349,  235001,    5467,    4815,  239816,   46520,   47642,   34720,     140,    9216,   13706,     425,   16174,   44098,   91489,   69915,  234349,  235001,    5467,    4815,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -27673,   -1794,   -1533,   -6610,    -303,   -1833,   -4382,    -558,    1393,    4892,   -6570,  -16895,  -25229,  -26299,   -2444,   -1374,  100.0,   19.4,   19.9,   14.5,    0.1,    3.8,    5.7,    0.2,    6.7,   18.4,   38.1,   29.2,   97.7,   98.0,    2.3,    2.0,  100.0,   19.4,   19.9,   14.5,    0.1,    3.8,    5.7,    0.2,    6.7,   18.4,   38.1,   29.2,   97.7,   98.0,    2.3,    2.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     68,     17,     15,      7,.,      6,      5,.,      5,     21,     11,     32,     64,     60,     68,     17,     15,      7,.,      6,      5,.,      5,     21,     11,     32,     64,     60,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    32.2,    48.9,    51.9,    64.1,    22.0,    39.5,    31.9,    42.7,    32.2,    48.9,    51.9,    64.1,    22.0,    39.5,    31.9,    42.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","06765T","NYME","067 ","N10","FutOnly"
"BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE",260127,2026-01-27,06765T,NYME,01,067 ,  267489,   48314,   49175,   41330,     443,   11049,   18088,     983,   14781,   39206,   98059,   86810,  259578,  261300,    7911,    6189,  267489,   48314,   49175,   41330,     443,   11049,   18088,     983,   14781,   39206,   98059,   86810,  259578,  261300,    7911,    6189,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   27441,    5264,    8583,    4889,     419,    1630,    3311,     426,    5627,    5705,    8188,    1870,   28296,   26743,    -855,     698,  100.0,   18.1,   18.4,   15.5,    0.2,    4.1,    6.8,    0.4,    5.5,   14.7,   36.7,   32.5,   97.0,   97.7,    3.0,    2.3,  100.0,   18.1,   18.4,   15.5,    0.2,    4.1,    6.8,    0.4,    5.5,   14.7,   36.7,   32.5,   97.0,   97.7,    3.0,    2.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     65,     13,     14,      5,.,      7,      5,.,      5,     19,     15,     32,     60,     60,     65,     13,     14,      5,.,      7,      5,.,      5,     19,     15,     32,     60,     60,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    31.3,    49.7,    51.1,    64.4,    20.8,    37.8,    30.2,    40.9,    31.3,    49.7,    51.1,    64.4,    20.8,    37.8,    30.2,    40.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","06765T","NYME","067 ","N10","FutOnly"
"BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE",260120,2026-01-20,06765T,NYME,01,067 ,  240048,   43050,   40592,   36441,      24,    9419,   14777,     557,    9154,   33501,   89871,   84940,  231282,  234557,    8766,    5491,  240048,   43050,   40592,   36441,      24,    9419,   14777,     557,    9154,   33501,   89871,   84940,  231282,  234557,    8766,    5491,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    8375,    2642,    -283,    5192,       0,    1130,   -3173,     320,    1854,    -822,    3948,     910,    7733,    7879,     642,     496,  100.0,   17.9,   16.9,   15.2,    0.0,    3.9,    6.2,    0.2,    3.8,   14.0,   37.4,   35.4,   96.3,   97.7,    3.7,    2.3,  100.0,   17.9,   16.9,   15.2,    0.0,    3.9,    6.2,    0.2,    3.8,   14.0,   37.4,   35.4,   96.3,   97.7,    3.7,    2.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     61,     13,     11,      7,.,      8,      4,.,      5,     19,     12,     31,     58,     56,     61,     13,     11,      7,.,      8,      4,.,      5,     19,     12,     31,     58,     56,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    29.6,    51.1,    51.5,    66.6,    22.7,    39.5,    32.0,    42.1,    29.6,    51.1,    51.5,    66.6,    22.7,    39.5,    32.0,    42.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","06765T","NYME","067 ","N10","FutOnly"
"BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE",260113,2026-01-13,06765T,NYME,01,067 ,  231673,   40408,   40875,   31249,      24,    8289,   17950,     237,    7300,   34323,   85923,   84030,  223549,  226678,    8124,    4995,  231673,   40408,   40875,   31249,      24,    8289,   17950,     237,    7300,   34323,   85923,   84030,  223549,  226678,    8124,    4995,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   15481,    3967,     766,     558,   -1663,     104,    1344,     115,    1148,    3728,   10992,    4015,   14864,   15477,     617,       4,  100.0,   17.4,   17.6,   13.5,    0.0,    3.6,    7.7,    0.1,    3.2,   14.8,   37.1,   36.3,   96.5,   97.8,    3.5,    2.2,  100.0,   17.4,   17.6,   13.5,    0.0,    3.6,    7.7,    0.1,    3.2,   14.8,   37.1,   36.3,   96.5,   97.8,    3.5,    2.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     64,     15,     13,      6,.,      6,      5,.,      5,     18,     13,     29,     59,     55,     64,     15,     13,      6,.,      6,      5,.,      5,     18,     13,     29,     59,     55,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    29.9,    52.1,    51.2,    67.9,    22.0,    39.6,    32.2,    41.8,    29.9,    52.1,    51.2,    67.9,    22.0,    39.6,    32.2,    41.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","06765T","NYME","067 ","N10","FutOnly"
"BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE",260106,2026-01-06,06765T,NYME,01,067 ,  216192,   36441,   40109,   30691,    1687,    8185,   16606,     122,    6152,   30595,   74931,   80015,  208685,  211201,    7507,    4991,  216192,   36441,   40109,   30691,    1687,    8185,   16606,     122,    6152,   30595,   74931,   80015,  208685,  211201,    7507,    4991,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -12233,   -6208,   -3306,    2508,     -33,   -3315,     832,       1,    -835,    1574,    2643,   -8458,  -13902,  -13303,    1669,    1070,  100.0,   16.9,   18.6,   14.2,    0.8,    3.8,    7.7,    0.1,    2.8,   14.2,   34.7,   37.0,   96.5,   97.7,    3.5,    2.3,  100.0,   16.9,   18.6,   14.2,    0.8,    3.8,    7.7,    0.1,    2.8,   14.2,   34.7,   37.0,   96.5,   97.7,    3.5,    2.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     64,     14,     12,      5,.,      5,      5,.,      4,     20,     13,     30,     59,     53,     64,     14,     12,      5,.,      5,      5,.,      4,     20,     13,     30,     59,     53,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    33.0,    52.1,    54.0,    68.1,    22.9,    36.6,    30.1,    39.6,    33.0,    52.1,    54.0,    68.1,    22.9,    36.6,    30.1,    39.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","06765T","NYME","067 ","N10","FutOnly"
"WTI  HOUSTON ARGUS/WTI TR MO - NEW YORK MERCANTILE EXCHANGE",260414,2026-04-14,0676A5,NYME,01,067 ,  441992,  416185,  310259,       0,   32098,    6483,       0,   16860,    8650,    2136,   41075,    3131,  436585,  418556,    5407,   23436,  441992,  416185,  310259,       0,   32098,    6483,       0,   16860,    8650,    2136,   41075,    3131,  436585,  418556,    5407,   23436,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      19,   -3689,   -2404,       0,     -15,    2175,       0,    -470,    -615,     168,     282,    -499,   -2460,   -1546,    2479,    1565,  100.0,   94.2,   70.2,    0.0,    7.3,    1.5,    0.0,    3.8,    2.0,    0.5,    9.3,    0.7,   98.8,   94.7,    1.2,    5.3,  100.0,   94.2,   70.2,    0.0,    7.3,    1.5,    0.0,    3.8,    2.0,    0.5,    9.3,    0.7,   98.8,   94.7,    1.2,    5.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     44,     27,     24,      0,      5,.,      0,.,.,.,.,.,     32,     34,     44,     27,     24,      0,      5,.,      0,.,.,.,.,.,     32,     34,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    55.2,    47.9,    79.8,    68.3,    53.0,    40.9,    69.6,    55.9,    55.2,    47.9,    79.8,    68.3,    53.0,    40.9,    69.6,    55.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","0676A5","NYME","067 ","N10","FutOnly"
"WTI  HOUSTON ARGUS/WTI TR MO - NEW YORK MERCANTILE EXCHANGE",260407,2026-04-07,0676A5,NYME,01,067 ,  441973,  419874,  312663,       0,   32113,    4308,       0,   17330,    9265,    1968,   40793,    3630,  439045,  420102,    2928,   21871,  441973,  419874,  312663,       0,   32113,    4308,       0,   17330,    9265,    1968,   40793,    3630,  439045,  420102,    2928,   21871,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4947,    5814,     513,   -4609,    2625,    2760,       0,   -1660,    1270,     793,    1048,    -707,    5321,    5849,    -374,    -902,  100.0,   95.0,   70.7,    0.0,    7.3,    1.0,    0.0,    3.9,    2.1,    0.4,    9.2,    0.8,   99.3,   95.1,    0.7,    4.9,  100.0,   95.0,   70.7,    0.0,    7.3,    1.0,    0.0,    3.9,    2.1,    0.4,    9.2,    0.8,   99.3,   95.1,    0.7,    4.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     45,     26,     25,      0,      5,.,      0,.,.,.,.,.,     30,     35,     45,     26,     25,      0,      5,.,      0,.,.,.,.,.,     30,     35,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    55.1,    48.0,    81.1,    67.9,    53.3,    41.1,    70.9,    56.0,    55.1,    48.0,    81.1,    67.9,    53.3,    41.1,    70.9,    56.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","0676A5","NYME","067 ","N10","FutOnly"
"WTI  HOUSTON ARGUS/WTI TR MO - NEW YORK MERCANTILE EXCHANGE",260331,2026-03-31,0676A5,NYME,01,067 ,  437026,  414060,  312150,    4609,   29488,    1548,       0,   18990,    7995,    1175,   39745,    4337,  433724,  414253,    3302,   22773,  437026,  414060,  312150,    4609,   29488,    1548,       0,   18990,    7995,    1175,   39745,    4337,  433724,  414253,    3302,   22773,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -27437,  -24818,  -24316,    2537,   -1125,   -1252,       0,      30,     290,    -587,   -5574,   -1338,  -25168,  -33285,   -2269,    5848,  100.0,   94.7,   71.4,    1.1,    6.7,    0.4,    0.0,    4.3,    1.8,    0.3,    9.1,    1.0,   99.2,   94.8,    0.8,    5.2,  100.0,   94.7,   71.4,    1.1,    6.7,    0.4,    0.0,    4.3,    1.8,    0.3,    9.1,    1.0,   99.2,   94.8,    0.8,    5.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     45,     26,     26,.,      4,.,      0,.,.,.,.,.,     30,     36,     45,     26,     26,.,      4,.,      0,.,.,.,.,.,     30,     36,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    54.4,    48.7,    80.7,    67.9,    53.0,    42.2,    71.1,    57.3,    54.4,    48.7,    80.7,    67.9,    53.0,    42.2,    71.1,    57.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 1,000 BARRELS)","0676A5","NYME","067 ","N10","FutOnly"
